path,id,phrase,emotion
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_youth_angry.wav,YAF,youth,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tape_fear.wav,OAF,tape,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_gin_sad.wav,YAF,gin,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_gaze_happy.wav,OAF,gaze,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chain_angry.wav,YAF,chain,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_yes_angry.wav,OAF,yes,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_thought_angry.wav,YAF,thought,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_fail_angry.wav,YAF,fail,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_check_fear.wav,OAF,check,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_nice_disgust.wav,OAF,nice,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dodge_neutral.wav,OAF,dodge,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_cab_fear.wav,OAF,cab,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_kite_disgust.wav,OAF,kite,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_judge_happy.wav,OAF,judge,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pick_neutral.wav,YAF,pick,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_laud_sad.wav,OAF,laud,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_take_happy.wav,OAF,take,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_book_neutral.wav,YAF,book,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_such_neutral.wav,OAF,such,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_luck_fear.wav,YAF,luck,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_read_fear.wav,OAF,read,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_chair_happy.wav,OAF,chair,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hire_angry.wav,OAF,hire,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hole_happy.wav,YAF,hole,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_note_neutral.wav,YAF,note,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_door_sad.wav,YAF,door,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bath_angry.wav,YAF,bath,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chair_disgust.wav,YAF,chair,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lore_disgust.wav,YAF,lore,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_perch_happy.wav,YAF,perch,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_love_sad.wav,YAF,love,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_nice_happy.wav,OAF,nice,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sail_sad.wav,YAF,sail,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_haze_disgust.wav,YAF,haze,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_third_neutral.wav,YAF,third,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hole_happy.wav,OAF,hole,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wife_neutral.wav,OAF,wife,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_shawl_fear.wav,YAF,shawl,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_get_fear.wav,YAF,get,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wife_sad.wav,OAF,wife,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mode_angry.wav,OAF,mode,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_tire_fear.wav,YAF,tire,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_knock_sad.wav,OAF,knock,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_kick_neutral.wav,YAF,kick,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pike_neutral.wav,OAF,pike,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_goal_fear.wav,OAF,goal,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_yearn_neutral.wav,YAF,yearn,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_neat_angry.wav,YAF,neat,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_home_fear.wav,OAF,home,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dead_neutral.wav,YAF,dead,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fall_fear.wav,OAF,fall,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_jail_angry.wav,YAF,jail,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lid_sad.wav,YAF,lid,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_third_fear.wav,OAF,third,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hate_happy.wav,YAF,hate,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_ton_sad.wav,YAF,ton,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_keg_happy.wav,OAF,keg,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_good_sad.wav,OAF,good,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lid_sad.wav,OAF,lid,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_judge_sad.wav,YAF,judge,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bite_disgust.wav,YAF,bite,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_limb_fear.wav,YAF,limb,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_voice_angry.wav,YAF,voice,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sheep_fear.wav,YAF,sheep,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_should_sad.wav,OAF,should,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_luck_angry.wav,OAF,luck,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_thought_neutral.wav,OAF,thought,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bought_angry.wav,YAF,bought,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_haze_sad.wav,YAF,haze,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_sail_sad.wav,OAF,sail,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hall_neutral.wav,OAF,hall,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_laud_disgust.wav,YAF,laud,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_turn_happy.wav,OAF,turn,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_cheek_sad.wav,OAF,cheek,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hit_fear.wav,OAF,hit,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dodge_sad.wav,OAF,dodge,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hit_fear.wav,YAF,hit,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_ditch_sad.wav,YAF,ditch,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_wife_sad.wav,YAF,wife,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_gin_happy.wav,YAF,gin,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_search_happy.wav,YAF,search,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_yearn_happy.wav,YAF,yearn,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_love_angry.wav,OAF,love,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bean_angry.wav,YAF,bean,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_five_fear.wav,OAF,five,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pike_disgust.wav,OAF,pike,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hush_angry.wav,YAF,hush,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_raid_neutral.wav,YAF,raid,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_moon_neutral.wav,YAF,moon,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pole_sad.wav,YAF,pole,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hash_sad.wav,OAF,hash,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_beg_happy.wav,OAF,beg,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_tip_happy.wav,YAF,tip,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_week_sad.wav,OAF,week,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_king_neutral.wav,OAF,king,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_date_angry.wav,OAF,date,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_should_sad.wav,YAF,should,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_nice_sad.wav,YAF,nice,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_calm_neutral.wav,YAF,calm,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_said_fear.wav,YAF,said,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_note_angry.wav,YAF,note,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_youth_happy.wav,OAF,youth,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lease_fear.wav,YAF,lease,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_haze_happy.wav,OAF,haze,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_peg_disgust.wav,YAF,peg,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_bar_angry.wav,YAF,bar,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_jug_sad.wav,OAF,jug,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_haze_neutral.wav,YAF,haze,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dog_neutral.wav,YAF,dog,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_walk_fear.wav,YAF,walk,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dime_angry.wav,YAF,dime,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fat_neutral.wav,OAF,fat,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_long_disgust.wav,OAF,long,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_void_neutral.wav,YAF,void,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_chalk_sad.wav,OAF,chalk,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lid_disgust.wav,YAF,lid,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_near_fear.wav,OAF,near,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chalk_disgust.wav,YAF,chalk,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_beg_sad.wav,YAF,beg,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_near_neutral.wav,OAF,near,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mob_disgust.wav,OAF,mob,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_red_fear.wav,YAF,red,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dog_fear.wav,YAF,dog,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_door_neutral.wav,OAF,door,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tell_angry.wav,OAF,tell,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_mode_fear.wav,YAF,mode,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_limb_angry.wav,YAF,limb,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_search_happy.wav,OAF,search,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_talk_fear.wav,YAF,talk,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wheat_happy.wav,OAF,wheat,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_hall_neutral.wav,YAF,hall,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_voice_disgust.wav,OAF,voice,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pass_sad.wav,OAF,pass,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_jar_fear.wav,OAF,jar,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_book_angry.wav,OAF,book,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_kick_sad.wav,YAF,kick,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dip_fear.wav,OAF,dip,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_kill_neutral.wav,YAF,kill,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_when_happy.wav,OAF,when,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_phone_happy.wav,OAF,phone,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_limb_neutral.wav,YAF,limb,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_keg_disgust.wav,OAF,keg,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_such_fear.wav,OAF,such,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_sheep_neutral.wav,YAF,sheep,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lot_sad.wav,YAF,lot,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_perch_neutral.wav,YAF,perch,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_chat_sad.wav,OAF,chat,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_make_sad.wav,YAF,make,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_witch_disgust.wav,YAF,witch,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_jar_neutral.wav,YAF,jar,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_wash_disgust.wav,YAF,wash,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_dab_happy.wav,YAF,dab,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_jail_disgust.wav,YAF,jail,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dog_sad.wav,OAF,dog,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_numb_disgust.wav,OAF,numb,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_good_sad.wav,YAF,good,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_wheat_fear.wav,OAF,wheat,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_youth_neutral.wav,OAF,youth,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_juice_fear.wav,OAF,juice,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_merge_sad.wav,OAF,merge,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_rush_fear.wav,OAF,rush,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_pole_disgust.wav,OAF,pole,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_late_disgust.wav,YAF,late,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_judge_neutral.wav,YAF,judge,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_good_angry.wav,YAF,good,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_fail_happy.wav,OAF,fail,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_tool_disgust.wav,OAF,tool,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_road_sad.wav,YAF,road,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_boat_sad.wav,OAF,boat,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_goose_fear.wav,OAF,goose,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_rose_sad.wav,YAF,rose,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_limb_sad.wav,YAF,limb,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_moon_happy.wav,OAF,moon,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_far_happy.wav,YAF,far,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_week_angry.wav,OAF,week,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_knock_disgust.wav,OAF,knock,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_thought_disgust.wav,YAF,thought,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_lean_neutral.wav,YAF,lean,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_peg_sad.wav,OAF,peg,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_hire_sad.wav,OAF,hire,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_tire_sad.wav,YAF,tire,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_team_disgust.wav,YAF,team,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_far_angry.wav,OAF,far,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_mill_disgust.wav,OAF,mill,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_life_happy.wav,OAF,life,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_pain_sad.wav,YAF,pain,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_door_disgust.wav,YAF,door,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_keep_disgust.wav,OAF,keep,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_road_angry.wav,OAF,road,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_base_angry.wav,OAF,base,ANG
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_should_disgust.wav,YAF,should,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_lot_disgust.wav,OAF,lot,DIS
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_wheat_sad.wav,YAF,wheat,SAD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_dab_happy.wav,OAF,dab,HAP
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_long_neutral.wav,OAF,long,NEU
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/OAF_soup_fear.wav,OAF,soup,FEA
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/TESS/YAF_chalk_fear.wav,YAF,chalk,FEA
